name,age,occupation,location,country,lat,lng,dod,source
Isaac Abadi,84,Other,Caracas,Venezuela,10.4805937,-66.90360629999999,NA,medscape
Musa Fath Abadi,NA,Doctor,Tehran,Iran,35.6891975,51.3889736,NA,medscape
Benjamín Abasta,NA,Doctor,Coahuila,Mexico,27.058676,-101.7068294,NA,medscape
Kathlynne Anne Abat-Senen,43,Doctor,Metro Manila,Philippines,14.6090537,121.0222565,NA,medscape
Abdullah Abbasi,65,Doctor,Gorgan,Iran,36.8456427,54.4393363,NA,medscape
Mohammad Abdelbasett Eljabri,NA,Doctor,Giza Governorate,Egypt,30.083864,31.225769,NA,medscape
Tilmatine Abdennour,60,Doctor,Sidi M'Hamed,Algeria,36.753768,3.0587561,NA,medscape
Ashraf Abdo,60,Doctor,New York,United States,40.7127753,-74.0059728,NA,medscape
Mostafa El-sayed Abdo,32,Doctor,El-Mahalla El-Kubra,Egypt,30.9696706,31.168083,NA,medscape
Amro Abed,NA,Doctor,Alexandria,Egypt,31.2000924,29.9187387,NA,medscape
Mojtaba Abedian,NA,Doctor,Mazandaran Province,Iran,36.2262393,52.5318604,NA,medscape
John Abruzzo,62,Nurse,Huntington,United States,40.8681539,-73.425676,NA,medscape
Jacques F. Acar,88,Other Medical,Paris,France,48.856614,2.3522219,NA,medscape
Labeja Acellam,69,Doctor,London,United Kingdom,51.5073509,-0.1277583,NA,medscape
Andres Roberto Acevedo Solera,58,Doctor,Atlantico,Colombia,10.6966159,-74.8741045,NA,medscape
"Divinia ""Debbie"" Accad",72,Nurse,Detroit,United States,42.331427,-83.0457538,NA,medscape
Juan Carlos Acosta,NA,Doctor,Valladolid,Spain,41.652251,-4.724532099999999,NA,medscape
Fidel Miguel Acosta Hernández,68,Doctor,Hidalgo,Mexico,20.0910963,-98.7623874,NA,medscape
Alberto Acuña Fernández,62,Doctor,Iquitos,Peru,-3.7436735,-73.25163260000001,NA,medscape
Martin Addison,44,Other,Wayne,United States,40.92537249999999,-74.2765441,NA,medscape
Mad Sophia Addo,54,Nurse,Nsuta,Ghana,7.0128913,-1.3782775,NA,medscape
Tahmineh Adibi,NA,Nurse,Bandar Anzali,Iran,37.4639089,49.4798635,NA,medscape
Mohan Adiseshiah,78,Retired,London,United Kingdom,51.5073509,-0.1277583,NA,medscape
Elisabeth Rolande Adjibodou,43,Other Medical,Mulhouse,France,47.750839,7.335888,NA,medscape
Ashraf Adly,60,Doctor,Qena,Egypt,26.155061,32.7160121,NA,medscape
